a,b
352,1070
353,1073
354,1076
355,1079
356,1082
357,1085
358,1088
359,1091
360,1094
361,1097
362,1100
363,1103
364,1106
365,1109
366,1112
367,1115
368,1118
369,1121
370,1124
371,1127
372,1130
373,1133
374,1136
375,1139
376,1142
377,1145
378,1148
379,1151
380,1154
381,1157
382,1160
383,1163
384,1166
385,1169
386,1172
387,1175
388,1178
389,1181
390,1184
391,1187
392,1190
393,1193
394,1196
395,1199
396,1202
397,1205
398,1208
399,1211
400,1214
401,1217
402,1220
403,1223
404,1226
405,1229
406,1232
407,1235
408,1238
409,1241
410,1244
411,1247
412,1250
413,1253
414,1256
415,1259
416,1262
417,1265
418,1268
419,1271
420,1274
421,1277
422,1280
423,1283
424,1286
425,1289
426,1292
427,1295
428,1298
429,1301
430,1304
431,1307
432,1310
433,1313
434,1316
435,1319
436,1322
437,1325
438,1328
439,1331
440,1334
441,1337
442,1340
443,1343
444,1346
445,1349
446,1352
447,1355
448,1358
449,1361
450,1364
451,1367
452,1370
453,1373
454,1376
455,1379
456,1382
457,1385
458,1388
459,1391
460,1394
461,1397
462,1400
463,1403
464,1406
465,1409
466,1412
467,1415
468,1418
469,1421
470,1424
471,1427
472,1430
473,1433
474,1436
475,1439
476,1442
477,1445
478,1448
479,1451
480,1454
481,1457
482,1460
483,1463
484,1466
485,1469
486,1472
487,1475
488,1478
489,1481
490,1484
491,1487
492,1490
493,1493
494,1496
495,1499
496,1502
497,1505
498,1508
499,1511
500,1514
501,1517
502,1520
503,1523
504,1526
505,1529
506,1532
507,1535
508,1538
509,1541
510,1544
511,1547
512,1550
513,1553
514,1556
515,1559
516,1562
517,1565
518,1568
519,1571
520,1574
521,1577
522,1580
523,1583
524,1586
525,1589
526,1592
527,1595
528,1598
529,1601
530,1604
531,1607
532,1610
533,1613
534,1616
535,1619
536,1622
537,1625
538,1628
539,1631
540,1634
541,1637
542,1640
543,1643
544,1646
545,1649
546,1652
547,1655
548,1658
549,1661
550,1664
551,1667
552,1670
553,1673
554,1676
555,1679
556,1682
557,1685
558,1688
559,1691
560,1694
561,1697
562,1700
563,1703
564,1706
565,1709
566,1712
567,1715
568,1718
569,1721
570,1724
571,1727
572,1730
573,1733
574,1736
575,1739
576,1742
577,1745
578,1748
579,1751
580,1754
581,1757
582,1760
583,1763
584,1766
585,1769
586,1772
587,1775
588,1778
589,1781
590,1784
591,1787
592,1790
593,1793
594,1796
595,1799
596,1802
597,1805
598,1808
599,1811
600,1814
601,1817
602,1820
603,1823
604,1826
605,1829
606,1832
607,1835
608,1838
609,1841
610,1844
611,1847
612,1850
613,1853
614,1856
615,1859
616,1862
617,1865
618,1868
619,1871
620,1874
621,1877
622,1880
623,1883
624,1886
625,1889
626,1892
627,1895
628,1898
629,1901
630,1904
631,1907
632,1910
633,1913
634,1916
635,1919
636,1922
637,1925
638,1928
639,1931
640,1934
641,1937
642,1940
643,1943
644,1946
645,1949
646,1952
647,1955
648,1958
649,1961
650,1964
651,1967
652,1970
653,1973
654,1976
655,1979
656,1982
657,1985
658,1988
659,1991
660,1994
661,1997
662,2000
663,2003
664,2006
665,2009
666,2012
667,2015
668,2018
669,2021
670,2024
671,2027
672,2030
673,2033
674,2036
675,2039
676,2042
677,2045
678,2048
679,2051
680,2054
681,2057
682,2060
683,2063
684,2066
685,2069
686,2072
687,2075
688,2078
689,2081
690,2084
691,2087
692,2090
693,2093
694,2096
695,2099
696,2102
697,2105
698,2108
699,2111
700,2114
701,2117
702,2120
703,2123
704,2126
705,2129
706,2132
707,2135
708,2138
709,2141
710,2144
711,2147
712,2150
713,2153
714,2156
715,2159
716,2162
717,2165
718,2168
719,2171
720,2174
721,2177
722,2180
723,2183
724,2186
725,2189
726,2192
727,2195
728,2198
729,2201
730,2204
731,2207
732,2210
733,2213
734,2216
735,2219
736,2222
737,2225
738,2228
739,2231
740,2234
741,2237
742,2240
743,2243
744,2246
745,2249
746,2252
747,2255
748,2258
749,2261
750,2264
751,2267
752,2270
753,2273
754,2276
755,2279
756,2282
757,2285
758,2288
759,2291
760,2294
761,2297
762,2300
763,2303
764,2306
765,2309
766,2312
767,2315
768,2318
769,2321
770,2324
771,2327
772,2330
773,2333
774,2336
775,2339
776,2342
777,2345
778,2348
779,2351
780,2354
781,2357
782,2360
783,2363
784,2366
785,2369
786,2372
787,2375
788,2378
789,2381
790,2384
791,2387
792,2390
793,2393
794,2396
795,2399
796,2402
797,2405
798,2408
799,2411
800,2414
801,2417
802,2420
803,2423
804,2426
805,2429
806,2432
807,2435
808,2438
809,2441
810,2444
811,2447
812,2450
813,2453
814,2456
815,2459
816,2462
817,2465
818,2468
819,2471
820,2474
821,2477
822,2480
823,2483
824,2486
825,2489
826,2492
827,2495
828,2498
829,2501
830,2504
831,2507
832,2510
833,2513
834,2516
835,2519
836,2522
837,2525
838,2528
839,2531
840,2534
841,2537
842,2540
843,2543
844,2546
845,2549
846,2552
847,2555
848,2558
849,2561
850,2564
851,2567
852,2570
853,2573
854,2576
855,2579
856,2582
857,2585
858,2588
859,2591
860,2594
861,2597
862,2600
863,2603
864,2606
865,2609
866,2612
867,2615
868,2618
869,2621
870,2624
871,2627
872,2630
873,2633
874,2636
875,2639
876,2642
877,2645
878,2648
879,2651
880,2654
881,2657
882,2660
883,2663
884,2666
885,2669
886,2672
887,2675
888,2678
889,2681
890,2684
891,2687
892,2690
893,2693
894,2696
895,2699
896,2702
897,2705
898,2708
899,2711
900,2714
901,2717
902,2720
903,2723
904,2726
905,2729
906,2732
907,2735
908,2738
909,2741
910,2744
911,2747
912,2750
913,2753
914,2756
915,2759
916,2762
917,2765
918,2768
919,2771
920,2774
921,2777
922,2780
923,2783
924,2786
925,2789
926,2792
927,2795
928,2798
929,2801
930,2804
931,2807
932,2810
933,2813
934,2816
935,2819
936,2822
937,2825
938,2828
939,2831
940,2834
941,2837
942,2840
943,2843
944,2846
945,2849
946,2852
947,2855
948,2858
949,2861
950,2864
951,2867
952,2870
953,2873
954,2876
955,2879
956,2882
957,2885
958,2888
959,2891
960,2894
961,2897
962,2900
963,2903
964,2906
965,2909
966,2912
967,2915
968,2918
969,2921
970,2924
971,2927
972,2930
973,2933
974,2936
975,2939
976,2942
977,2945
978,2948
979,2951
980,2954
981,2957
982,2960
983,2963
984,2966
985,2969
986,2972
987,2975
988,2978
989,2981
990,2984
991,2987
992,2990
993,2993
994,2996
995,2999
996,3002
997,3005
998,3008
999,3011
1000,3014
1001,3017
1002,3020
1003,3023
1004,3026
1005,3029
1006,3032
1007,3035
1008,3038
1009,3041
1010,3044
1011,3047
1012,3050
1013,3053
1014,3056
1015,3059
1016,3062
1017,3065
1018,3068
1019,3071
1020,3074
1021,3077
1022,3080
1023,3083
